Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
107,3.5372,1616.7429,416.6293,7.2716,2.1235,-49.3815,2.8102,49.4614,0.6500,17.1845
108,3.5702,1623.9112,432.9243,7.5560,5.6897,-47.8763,-3.2733,47.9881,0.6500,18.5550
109,3.6033,1630.1488,443.7010,7.7440,5.6897,-45.1825,-8.0879,45.9007,0.6500,19.4903
110,3.6364,1634.5014,454.4777,7.9321,5.6897,-41.6795,-10.7801,43.0511,0.6500,20.4486
111,3.6694,1632.9151,465.2544,8.1202,5.6897,-38.6493,-8.8626,39.6525,0.6500,21.4298
112,3.7025,1639.8670,476.0310,8.3083,5.6897,-34.0498,-12.3037,36.2046,0.6500,22.4341
113,3.7355,1657.4882,486.8077,8.4964,5.6897,-25.8580,-19.8331,32.5882,0.6500,23.4614
114,3.7686,1683.1276,497.5844,8.6845,5.6897,-13.2498,-26.1480,29.3134,0.6500,24.5116
115,3.8017,1714.1521,508.3611,8.8726,5.6897,1.9992,-27.5390,27.6115,0.6500,25.5848
116,3.8347,1738.6153,519.1378,9.0607,5.6897,12.9882,-23.8068,27.1193,0.6500,26.6811
117,3.8678,1764.8039,529.9144,9.2488,5.6897,22.5949,-15.9366,27.6496,0.6500,27.8003
118,3.9008,1792.7179,540.6911,9.4368,5.6897,28.9669,-3.7015,29.2025,0.6500,28.9425
119,3.9339,1822.3573,551.4678,9.6249,5.6897,29.3891,12.0877,31.7778,0.6500,30.1078
120,3.9669,1853.7221,562.2445,9.8130,5.6897,20.9319,28.5183,35.3757,0.6500,31.2960
