Frame,Time_s,Theta_continuous_deg,Angular_Displacement_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,Rotational_KE_J
158.0000,5.2667,663.8283,663.8283,105.5164,1.8416,-3.0996,14.5639,-21.7321,26.1609,6.0543
159.0000,5.3000,667.5323,667.5323,98.3563,1.7166,-2.2115,15.0070,-19.5347,24.6337,5.2605
160.0000,5.3333,671.2363,671.2363,94.8674,1.6557,1.2047,14.3207,-16.3375,21.7255,4.8939
161.0000,5.3667,674.9402,674.9402,101.2947,1.7679,6.7377,14.4982,-14.5285,20.5250,5.5795
162.0000,5.4000,677.4208,677.4208,120.5561,2.1041,13.1823,15.5457,-14.2847,21.1121,7.9031
163.0000,5.4333,680.1022,680.1022,151.5675,2.6454,18.6980,17.5112,-14.6405,22.8252,12.4920
164.0000,5.4667,685.6336,685.6336,191.4976,3.3423,21.1330,19.8826,-13.5967,24.0871,19.9411
165.0000,5.5000,693.3062,693.3062,234.0764,4.0854,18.8094,23.0678,-11.5988,25.8197,29.7945
166.0000,5.5333,702.4111,702.4111,267.4598,4.6681,11.3199,26.9545,-8.5447,28.2764,38.8990
167.0000,5.5667,712.2393,712.2393,280.3343,4.8928,0.2501,30.4061,-4.1439,30.6872,42.7341
168.0000,5.6000,722.0822,722.0822,268.4767,4.6858,-10.9063,33.2979,1.2106,33.3199,39.1954
169.0000,5.6333,731.2307,731.2307,235.7767,4.1151,-18.5988,34.6907,6.8883,35.3679,30.2290
170.0000,5.6667,738.9762,738.9762,193.2949,3.3736,-21.1435,34.6696,11.9216,36.6621,20.3171
171.0000,5.7000,744.6096,744.6096,153.0662,2.6715,-18.8807,33.2355,15.2232,36.5560,12.7403
172.0000,5.7333,747.4222,747.4222,121.6252,2.1228,-13.4497,31.8070,16.5029,35.8334,8.0439
173.0000,5.7667,749.7978,749.7978,101.8314,1.7773,-7.0005,29.3349,16.7988,33.8044,5.6388
174.0000,5.8000,753.5018,753.5018,94.8807,1.6560,-1.3997,26.2825,17.3972,31.5187,4.8953
175.0000,5.8333,757.2058,757.2058,98.0684,1.7116,2.1213,24.2376,18.4012,30.4314,5.2297
176.0000,5.8667,760.9098,760.9098,105.2160,1.8364,3.1125,22.5987,19.5824,29.9027,6.0198
177.0000,5.9000,764.6137,764.6137,110.9474,1.9364,2.1945,21.1078,20.8251,29.6518,6.6935
178.0000,5.9333,768.3177,768.3177,113.0924,1.9738,0.7358,19.8957,22.3444,29.9184,6.9549
179.0000,5.9667,772.0217,772.0217,112.3222,1.9604,-0.2011,18.6380,23.8742,30.2879,6.8605
180.0000,6.0000,775.7257,775.7257,111.1320,1.9396,-0.4055,17.4045,25.5387,30.9054,6.7158
181.0000,6.0333,779.4297,779.4297,110.9602,1.9366,-0.1987,15.6561,26.5043,30.7829,6.6951
182.0000,6.0667,783.1336,783.1336,111.1194,1.9394,0.0109,13.8100,27.2607,30.5591,6.7143
183.0000,6.1000,786.8376,786.8376,111.1194,1.9394,0.0454,11.5809,27.0693,29.4426,6.7143
184.0000,6.1333,790.5416,790.5416,111.1194,1.9394,0.0063,9.3665,26.5113,28.1173,6.7143
185.0000,6.1667,794.2456,794.2456,111.1194,1.9394,-0.0040,7.1943,25.5014,26.4968,6.7143
186.0000,6.2000,797.9496,797.9496,111.1194,1.9394,0.0000,5.1455,24.1034,24.6465,6.7143
187.0000,6.2333,801.6536,801.6536,111.1194,1.9394,0.0000,3.2562,22.1945,22.4320,6.7143
188.0000,6.2667,805.3575,805.3575,111.1194,1.9394,-0.0000,1.6715,20.5842,20.6519,6.7143
189.0000,6.3000,809.0615,809.0615,111.1194,1.9394,-0.0000,0.2966,18.1091,18.1115,6.7143
