Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
150,5.0000,3216.7808,935.3365,-24.7326,-7.7935,1.9969,8.0453,5.8176,775.1775
151,5.0333,3257.9517,942.3006,-42.9542,-6.6926,8.9363,11.1646,3.4944,472.5749
152,5.0667,3300.7713,933.6658,-67.3041,-5.6241,6.9544,8.9439,3.1268,415.1590
153,5.1000,3341.1132,786.5739,-78.3585,-3.9417,6.7430,7.8106,1.9605,184.7423
154,5.1333,3364.4223,470.1312,-57.4568,-3.3269,7.7765,8.4583,1.7879,60.1875
155,5.1667,3359.0148,302.2626,0.7130,-3.5862,11.5914,12.1334,2.6219,36.4846
156,5.2000,3367.3137,419.1111,78.0485,-3.8049,8.8298,9.6147,3.1956,85.4947
157,5.2333,3372.8287,703.0667,136.4588,-3.5174,11.7418,12.2573,2.4250,182.5738
158,5.2667,3411.0205,1059.1971,107.7567,-2.5518,19.7120,19.8764,4.5784,782.3406
159,5.3000,3462.7462,1314.6344,6.8733,-2.3624,21.2888,21.4194,6.4774,1705.0338
160,5.3333,3509.8131,1304.6116,-87.4429,0.9949,6.8879,6.9594,7.0054,1816.0148
161,5.3667,3539.4021,922.7335,-146.0304,3.8749,-5.1956,6.4815,5.2937,686.4963
162,5.4000,3571.9931,213.0245,-153.7542,4.6592,-10.1374,11.1568,5.7375,39.6559
163,5.4333,3575.2046,129.4539,-109.8707,3.5289,0.9453,3.6533,4.1803,10.6699
164,5.4667,3540.6526,129.4539,-34.3772,6.2216,14.7834,16.0393,9.8291,25.0882
165,5.5000,3475.6957,129.4539,35.3053,10.2595,23.4795,25.6231,4.8429,12.3612
166,5.5333,3403.0233,129.4539,55.7214,11.5967,15.6006,19.4387,5.4094,13.8071
167,5.5667,3341.1173,129.4539,51.3629,10.4379,13.8038,17.3059,2.0990,5.3577
168,5.6000,3346.4159,129.4539,57.1249,9.1388,11.7545,14.8891,5.9938,15.2987
169,5.6333,3360.2843,129.4539,61.7326,8.7011,16.7894,18.9101,2.5237,6.4417
170,5.6667,3323.5369,129.4539,67.1188,7.4790,17.5996,19.1228,4.8544,12.3905
171,5.7000,3269.0359,129.4539,67.6405,6.2462,3.2963,7.0626,1.7691,4.5156
172,5.7333,3214.1121,129.4539,100.8479,4.9440,-22.4540,22.9918,10.3328,26.3739
173,5.7667,3169.9992,129.4539,145.8790,4.8903,-31.6922,32.0672,10.8468,27.6857
174,5.8000,3166.4766,129.4539,163.8878,5.0512,-25.9002,26.3881,6.7240,17.1625
175,5.8333,3178.9013,645.4929,140.8056,4.7593,-18.3521,18.9592,5.4394,345.1918
176,5.8667,3210.4401,1109.9552,84.3262,4.3476,-11.1880,12.0030,2.3002,431.6141
177,5.9000,3255.1870,1171.6726,13.2884,4.3466,-0.7488,4.4107,2.7227,569.2990
178,5.9333,3302.0166,963.0579,-40.7028,3.9946,-1.0688,4.1351,1.9109,269.9335
179,5.9667,3334.4998,748.7403,-52.6543,3.5002,2.4512,4.2732,2.8661,244.7208
180,6.0000,3349.1062,624.4574,7.4604,2.6158,7.4090,7.8572,2.9783,176.8882
181,6.0333,3345.8909,711.8596,77.2700,1.2519,21.4044,21.4410,2.4815,191.5260
182,6.0667,3377.5392,1020.6890,66.9289,-3.2592,25.2131,25.4229,8.0264,1273.6043
183,6.1000,3421.2400,1295.8851,7.4735,-6.7626,16.2988,17.6461,3.2264,825.2370
184,6.1333,3474.0020,1322.0636,-78.9876,-9.7143,-0.5678,9.7309,2.4898,662.8263
185,6.1667,3525.8124,902.9765,-164.1595,-10.5989,-10.0871,14.6317,3.2086,398.4738
186,6.2000,3552.5122,129.4539,-213.6665,-14.0453,-13.8987,19.7597,7.6962,19.6441
187,6.2333,3529.9441,129.4539,-211.2803,-17.0413,-22.2675,28.0401,9.2755,23.6752
188,6.2667,3497.7341,129.4539,-169.2098,-18.5559,-30.5406,35.7359,9.1723,23.4117
189,6.3000,3422.8130,129.4539,-123.3577,-17.9430,-34.4197,38.8158,10.5561,26.9438
190,6.3333,3363.4460,129.4539,-116.2114,-18.2324,-32.5588,37.3162,8.4373,21.5356
191,6.3667,3315.7441,129.4539,-106.0533,-18.8467,-24.5128,30.9205,8.2417,21.0364
192,6.4000,3276.5783,129.4539,-98.2508,-19.6347,-18.1429,26.7336,4.4305,11.3086
193,6.4333,3241.7445,129.4539,-91.6983,-21.6474,-15.3269,26.5241,6.7225,17.1588
194,6.4667,3220.2681,129.4539,-85.2905,-24.6069,-15.4139,29.0360,17.9662,45.8577
195,6.5000,3191.0431,129.4539,-77.9219,-27.2376,-18.0169,32.6573,27.7773,70.8998
196,6.5333,3189.0929,129.4539,-68.4871,-28.7537,-25.0315,38.1229,13.2673,33.8639
197,6.5667,3186.0108,129.4539,-60.1918,-29.8021,-36.8939,47.4270,16.4505,41.9889
198,6.6000,3180.4207,129.4539,-43.9526,-30.6827,-49.9597,58.6293,25.6936,65.5813
