Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
184,6.1333,2610.6222,493.7876,-15.1053,7.5701,-35.2157,36.0202,8.1501,302.6691
185,6.1667,2622.1504,408.5028,-40.3614,6.8043,-36.0575,36.6939,9.8245,249.7046
186,6.2000,2632.3576,233.3737,-41.1315,4.8639,-37.0668,37.3845,13.3375,110.6373
187,6.2333,2645.1376,126.8516,-10.1016,4.7315,-33.2616,33.5965,12.9517,31.7427
188,6.2667,2647.2380,155.2378,45.8013,5.0919,-32.2858,32.6848,13.5144,49.6040
189,6.3000,2640.4123,314.4569,100.3153,5.6239,-27.8980,28.4592,13.1836,198.5552
190,6.3333,2656.0055,583.0120,120.2483,5.9335,-24.9328,25.6291,7.6705,397.1033
191,6.3667,2682.4732,864.6352,93.2899,6.3171,-21.9569,22.8475,7.4986,853.8342
192,6.4000,2718.2621,1043.5787,31.1347,6.3405,-22.7809,23.6468,3.2094,532.3577
193,6.4333,2760.9857,1027.7347,-43.3442,6.2037,-20.8298,21.7340,3.2655,525.3288
194,6.4667,2797.4842,819.2493,-99.4271,6.0422,-20.9015,21.7574,2.8824,294.6571
195,6.5000,2811.0292,536.6357,-115.0414,5.7635,-21.6289,22.3836,4.9405,216.6962
196,6.5333,2827.1165,281.2461,-91.7445,5.4628,-23.5690,24.1938,6.4448,77.6433
197,6.5667,2831.4994,142.7805,-46.5150,5.6671,-26.9673,27.5563,11.7496,36.4826
198,6.6000,2830.1640,161.3812,-2.1040,6.3172,-30.7848,31.4263,9.6288,38.1949
199,6.6333,2836.5263,228.7727,18.9263,6.4409,-37.0728,37.6282,12.1899,97.1704
200,6.6667,2847.4273,274.2104,11.7677,5.8063,-42.8294,43.2212,16.2801,186.4448
201,6.7000,2859.9090,295.6121,-9.3954,4.9514,-43.4831,43.7641,12.9829,172.7985
202,6.7333,2873.6679,252.0974,-27.9512,4.2841,-37.3081,37.5532,8.7730,84.9200
203,6.7667,2876.5600,117.8961,-35.8726,5.1927,-36.6370,37.0031,9.3838,19.8657
204,6.8000,2876.9639,60.1466,-20.6642,7.3345,-40.8117,41.4656,11.5055,6.3395
205,6.8333,2877.0520,60.1466,17.3893,8.7470,-42.8166,43.7010,12.0246,6.6255
206,6.8667,2875.6627,60.1466,63.2709,8.6713,-42.4842,43.3601,10.1572,5.5966
207,6.9000,2864.8665,217.1207,93.8663,8.5149,-42.8286,43.6668,12.5528,90.1294
208,6.9333,2879.0652,490.8942,92.6265,8.9212,-43.2039,44.1154,10.9567,402.1446
209,6.9667,2900.6047,697.6057,58.5020,7.7961,-39.6398,40.3991,10.8316,802.8557
210,7.0000,2934.6585,793.1996,1.6731,6.1748,-35.7022,36.2322,12.2862,1177.3553
211,7.0333,2965.9671,725.1953,-53.6637,4.5728,-36.1072,36.3956,11.7287,939.4734
212,7.0667,2986.9953,504.8254,-68.2823,4.2757,-40.7012,40.9252,11.4402,444.0588
213,7.1000,2990.3775,302.6940,-33.5561,3.9092,-40.6883,40.8756,9.5619,133.4374
214,7.1333,3004.5482,250.6719,28.9362,4.2801,-31.4966,31.7860,16.4407,157.3464
215,7.1667,3007.7297,414.1711,88.6857,4.9268,-23.0911,23.6109,9.7476,254.6731
216,7.2000,3018.4582,733.0938,111.5564,5.5618,-20.1288,20.8831,7.5438,617.4941
217,7.2333,3050.0326,1002.0166,78.9624,5.7924,-22.3038,23.0437,7.5492,1154.4549
218,7.2667,3092.4009,1097.5511,5.2267,5.4140,-21.9795,22.6365,3.2764,601.1429
219,7.3000,3138.5830,1016.5801,-74.1246,4.7429,-19.3989,19.9703,3.2627,513.5563
220,7.3333,3174.0458,746.1525,-125.0399,4.6270,-18.5409,19.1095,2.8255,239.5927
221,7.3667,3184.1367,411.4555,-131.4546,4.9575,-21.7257,22.2841,4.4137,113.8087
222,7.4000,3185.3008,169.7858,-95.8466,5.3430,-27.0697,27.5920,6.6761,29.3122
223,7.4333,3190.7195,60.1466,-33.6085,5.6743,-30.9789,31.4942,12.0852,6.6589
224,7.4667,3190.9360,60.1466,30.3975,6.3257,-35.5277,36.0864,9.6148,5.2977
225,7.5000,3197.8355,184.7906,70.0127,6.4038,-39.4235,39.9403,14.2869,74.3058
226,7.5333,3206.8147,376.8795,71.1792,5.8944,-39.9313,40.3640,12.9996,281.2286
227,7.5667,3209.5326,530.9459,36.0705,5.5289,-37.3338,37.7410,8.6844,372.8777
228,7.6000,3233.9250,594.6918,-14.5603,5.4877,-35.7104,36.1296,8.4047,452.7229
229,7.6333,3267.0502,492.9705,-57.1589,6.2315,-34.2275,34.7901,8.3318,308.3936
230,7.6667,3283.6916,271.2055,-70.8739,7.2077,-33.1264,33.9014,13.0344,146.0203
231,7.7000,3284.4640,72.8294,-44.9230,8.4164,-33.1734,34.2244,10.4730,8.4607
232,7.7333,3281.1098,60.1466,7.1839,9.1054,-35.7648,36.9057,8.3702,4.6119
233,7.7667,3263.4490,114.5841,54.6492,9.6371,-40.3427,41.4778,8.8551,17.7079
234,7.8000,3275.5618,329.3475,65.7942,10.0010,-45.0987,46.1943,11.9870,198.0356
235,7.8333,3305.2902,523.0830,36.7925,9.3196,-45.8897,46.8265,11.8638,494.4139
236,7.8667,3326.8887,579.2905,-5.2935,7.9944,-44.2135,44.9305,12.3244,629.9149
237,7.9000,3339.9769,455.3829,-35.1556,6.9981,-44.5281,45.0746,11.7345,370.6330
238,7.9333,3356.3199,267.6932,-33.9722,6.4507,-41.8255,42.3200,11.5055,125.5758
239,7.9667,3359.6026,197.0618,5.5481,6.1542,-34.3641,34.9108,11.9935,70.9377
240,8.0000,3359.7260,288.2913,62.2251,5.9675,-29.6416,30.2363,11.7845,149.1760
241,8.0333,3373.6462,501.0815,101.6025,6.9218,-25.6838,26.6001,9.2304,352.9893
242,8.0667,3392.5781,759.8842,97.5668,7.6860,-20.5799,21.9683,4.8311,424.8751
243,8.1000,3421.6926,965.8506,52.4379,8.1923,-16.1680,18.1250,2.4295,345.1881
244,8.1333,3463.7113,1014.0573,-13.0611,8.0625,-18.3723,20.0635,2.6731,418.6620
245,8.1667,3501.0034,883.9510,-75.7390,8.0703,-22.0944,23.5222,3.4131,406.1929
246,8.2000,3523.1671,641.9440,-116.3506,8.2189,-23.6419,25.0298,4.6904,294.3912
247,8.2333,3541.7882,393.0185,-118.3964,8.3139,-23.8906,25.2959,4.3365,102.0213
248,8.2667,3546.7923,176.8347,-78.0212,8.3811,-24.7211,26.1032,5.0957,24.2694
249,8.3000,3545.3522,60.1466,-12.9040,8.1098,-26.8452,28.0434,9.5760,5.2763
250,8.3333,3551.9557,65.2929,55.4187,8.2494,-30.8313,31.9158,15.0324,9.7608
251,8.3667,3559.5440,276.7219,108.9027,8.1414,-36.9486,37.8350,13.0040,151.6665
252,8.4000,3555.3664,552.2468,107.4773,7.6434,-43.0733,43.7462,13.7120,636.9314
253,8.4333,3578.6058,785.8436,46.1990,7.6776,-41.9719,42.6684,14.1891,1334.5984
254,8.4667,3620.9042,906.8141,-26.5103,8.7244,-37.7231,38.7188,9.1394,1144.6677
255,8.5000,3653.3210,775.6978,-85.6175,9.6316,-34.0663,35.4017,7.9714,730.5396
256,8.5333,3672.9299,253.0109,-111.7047,9.9017,-36.9746,38.2775,8.1829,79.7833
