Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
91,3.0083,1712.8435,470.2610,8.2076,8.4037,0.5660,-11.3944,11.4084,0.6500,21.8935
92,3.0413,1745.5996,488.2882,8.5222,8.9839,6.9213,-9.6677,11.8899,0.6500,23.6043
93,3.0744,1775.4936,509.5385,8.8931,8.3318,12.2267,-5.5737,13.4371,0.6500,25.7035
94,3.1074,1799.2621,529.3569,9.2390,6.3125,15.8269,-0.2039,15.8282,0.6500,27.7418
95,3.1405,1813.8849,542.4941,9.4683,3.1397,18.0491,4.4616,18.5923,0.6500,29.1359
96,3.1736,1816.5923,547.1335,9.5493,-0.3162,21.0555,6.2738,21.9703,0.6500,29.6364
97,3.2066,1811.4255,545.2672,9.5167,-3.7600,24.9706,5.0465,25.4754,0.6500,29.4345
98,3.2397,1815.3992,537.2230,9.3763,-6.9295,27.6423,7.6135,28.6717,0.6500,28.5724
99,3.2727,1829.7468,521.4669,9.1013,-9.3295,27.1371,15.5081,31.2558,0.6500,26.9210
100,3.3058,1852.0206,496.6802,8.6687,-10.8102,20.2616,25.9529,32.9254,0.6500,24.4226
101,3.3388,1879.4330,467.7361,8.1635,-11.4016,6.1602,33.0219,33.5916,0.6500,21.6591
102,3.3719,1909.1814,440.8004,7.6934,-10.9869,-11.1256,31.9819,33.8618,0.6500,19.2363
103,3.4050,1938.4633,420.4806,7.3388,-9.6522,-25.3708,22.4752,33.8942,0.6500,17.5037
104,3.4380,1964.5542,407.9272,7.1197,-7.9834,-32.5651,8.9979,33.7854,0.6500,16.4742
105,3.4711,1984.3727,404.8228,7.0655,-6.1388,-33.5246,-2.5635,33.6225,0.6500,16.2244
106,3.5041,1995.2879,411.7628,7.1866,-4.1347,-32.5559,-8.8989,33.7502,0.6500,16.7854
107,3.5372,1997.0300,428.1739,7.4730,-1.7864,-32.3895,-9.9210,33.8748,0.6500,18.1501
