Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
255,8.5000,4044.9485,1002.4657,14.9942,-8.1723,-13.4667,15.7524,1.6195,247.8825
256,8.5333,4085.8038,900.7148,-9.5087,-9.0492,-11.1451,14.3562,4.4229,546.5208
257,8.5667,4110.8682,813.2794,3.5453,-10.3169,-6.9509,12.4400,4.5982,463.2209
258,8.6000,4107.6754,863.8762,28.9217,-11.8427,8.0209,14.3033,4.9649,564.3354
259,8.6333,4143.5075,1030.3806,22.9445,-13.9672,16.8484,21.8850,6.4234,1038.6815
260,8.6667,4190.0925,1150.0799,-21.2733,-15.6463,13.1767,20.4556,3.3781,680.5372
261,8.7000,4239.0189,1099.0728,-78.9227,-16.8446,12.3126,20.8648,2.4875,457.6580
262,8.7333,4280.3485,804.9348,-113.8067,-17.8038,14.3487,22.8661,5.8489,577.1917
263,8.7667,4298.5954,426.1002,-92.8949,-19.5899,8.0084,21.1636,3.6518,100.9858
264,8.8000,4291.2171,235.1047,-22.2790,-20.9800,-7.2764,22.2060,5.6323,47.4171
265,8.8333,4294.7265,299.4909,56.3338,-21.8272,-11.1212,24.4971,5.7472,78.5139
266,8.8667,4308.1576,598.0676,99.6037,-22.5293,-9.0544,24.2806,4.1996,228.7901
267,8.9000,4335.6494,945.8878,85.1566,-24.3304,-5.8293,25.0190,3.8354,522.6591
268,8.9333,4377.0861,1067.8180,28.1991,-25.4975,-1.4336,25.5378,3.6705,637.4478
269,8.9667,4421.1321,959.3476,-30.3610,-25.4978,5.2970,26.0422,3.8249,536.1634
270,9.0000,4454.9807,776.8013,-52.8051,-24.1863,12.3508,27.1573,4.7624,437.6972
271,9.0333,4469.4965,620.5768,-27.1386,-23.7486,13.8649,27.4996,6.5025,381.4134
272,9.0667,4474.9462,608.5229,19.0035,-24.2450,13.6458,27.8213,6.9647,392.8082
273,9.1000,4498.4330,760.8598,45.3596,-24.5700,7.9846,25.8348,6.1764,544.5893
274,9.1333,4529.1711,951.4320,35.1372,-23.1419,-3.9010,23.4684,4.9133,677.4082
