Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,Rotational_KE_J
186.0000,6.2000,898.2607,84.0319,23.0459,-4.4801,15.1877,15.8347,3.8085
187.0000,6.2333,900.9559,96.7076,7.2259,-5.7845,4.5203,7.3412,5.0441
188.0000,6.2667,905.0581,122.3176,6.7148,-7.0018,-8.5690,11.0659,8.0694
189.0000,6.3000,909.8611,106.9838,81.8029,-7.8849,-19.5415,21.0723,6.1730
190.0000,6.3333,914.2082,361.1642,189.8055,-8.4487,-29.4564,30.6441,70.3512
191.0000,6.3667,925.8906,877.8034,180.3940,-8.7619,-41.0613,41.9857,415.5817
192.0000,6.4000,975.7905,1155.3117,17.6830,-9.0160,-51.0055,51.7962,719.8801
193.0000,6.4333,1009.8432,909.1074,-123.3248,-9.4744,-54.1782,55.0003,445.7510
194.0000,6.4667,1032.7990,586.1604,-136.1960,-9.5135,-49.6861,50.5887,185.3083
195.0000,6.5000,1045.3323,427.6491,-92.7135,-8.8302,-41.5427,42.4708,98.6364
196.0000,6.5333,1064.9483,261.9773,-60.5659,-6.9661,-39.0518,39.6683,37.0160
197.0000,6.5667,1063.2136,164.0991,-34.7143,-7.2549,-40.1757,40.8255,14.5236
198.0000,6.6000,1070.9847,145.6866,-26.3004,-6.3060,-44.3946,44.8403,11.4472
199.0000,6.6333,1078.0339,89.2341,-25.5539,-5.9758,-30.7076,31.2836,4.2946
200.0000,6.6667,1076.2153,4.2164,-6.2797,-4.5747,-26.8931,27.2794,0.0096
201.0000,6.7000,1075.8911,69.5388,-0.3132,-4.5195,-8.1382,9.3090,2.6081
202.0000,6.7333,1081.1252,79.3704,9.4563,-3.1237,-6.6761,7.3707,3.3977
203.0000,6.7667,1086.2108,47.3790,144.2952,-3.3370,4.1727,5.3429,1.2107
204.0000,6.8000,1082.3387,493.2518,357.1778,-3.6144,2.7219,4.5247,131.2198
205.0000,6.8333,1109.5925,1476.2389,322.8332,-3.2531,15.7893,16.1210,1175.3715
206.0000,6.8667,1182.2604,1959.9463,-76.9752,-0.5070,17.7090,17.7163,2071.8112
207.0000,6.9000,1252.6699,1200.5224,-402.5364,1.1173,18.7995,18.8327,777.3245
208.0000,6.9333,1264.9208,83.3654,-325.6622,0.3255,16.6897,16.6929,3.7483
209.0000,6.9667,1245.9859,0.0000,-58.3467,-3.1847,14.2449,14.5966,0.0000
210.0000,7.0000,1245.2419,16.1394,62.2688,-5.4582,7.4181,9.2098,0.1405
211.0000,7.0333,1252.1189,210.1404,29.8096,-6.3212,-1.3716,6.4683,23.8167
212.0000,7.0667,1260.1301,150.3715,-19.3167,-5.8850,-7.5787,9.5953,12.1953
213.0000,7.1000,1261.8406,94.5747,-41.0826,-4.9203,-8.2938,9.6435,4.8241
214.0000,7.1333,1264.1516,28.1271,29.0624,-4.5419,-14.5338,15.2270,0.4267
215.0000,7.1667,1269.4806,138.3283,206.8112,-4.4472,-27.3363,27.6957,10.3201
216.0000,7.2000,1267.9406,744.7101,346.5690,-4.4728,-39.2040,39.4583,299.1137
217.0000,7.2333,1312.4174,1584.0670,200.6223,-3.7164,-41.7436,41.9087,1353.3463
218.0000,7.2667,1380.1086,1669.3537,-162.9430,-4.2363,-45.3135,45.5111,1502.9986
219.0000,7.3000,1432.6953,853.4511,-359.9084,-4.6576,-47.1166,47.3463,392.8431
220.0000,7.3333,1432.7455,112.4984,-237.3708,-3.9483,-43.2314,43.4113,6.8258
221.0000,7.3667,1432.1669,0.0000,-40.2080,-3.0513,-30.3692,30.5221,0.0000
222.0000,7.4000,1434.0559,68.1444,21.1475,-3.8116,-17.0176,17.4392,2.5045
223.0000,7.4333,1437.1851,67.6018,-5.0037,-4.6765,-8.2529,9.4858,2.4648
224.0000,7.4667,1439.0536,22.0676,-15.8255,-4.2984,-6.3466,7.6652,0.2626
225.0000,7.5000,1438.3810,0.0000,1.5782,-4.3902,-12.7864,13.5191,0.0000
226.0000,7.5333,1438.3409,28.3007,27.2140,-4.8774,-11.3468,12.3507,0.4320
227.0000,7.5667,1440.1160,95.1867,18.4820,-5.2317,0.4713,5.2529,4.8867
228.0000,7.6000,1444.7419,149.7097,-33.4692,-5.4724,14.2713,15.2846,12.0882
229.0000,7.6333,1449.4930,0.0000,-0.5335,-5.3055,21.7761,22.4131,0.0000
230.0000,7.6667,1452.1412,7.8416,228.0723,-6.0324,23.0524,23.8286,0.0332
231.0000,7.7000,1439.6548,775.0884,420.4383,-8.3877,21.5871,23.1594,324.0144
232.0000,7.7333,1495.8348,1825.8939,219.8816,-12.4390,14.5072,19.1099,1798.0962
233.0000,7.7667,1572.8003,1803.5074,-229.0579,-15.3058,13.1847,20.2016,1754.2752
234.0000,7.8000,1626.4151,747.9345,-414.4999,-17.2229,9.6992,19.7662,301.7095
235.0000,7.8333,1614.0858,17.8284,-243.4825,-16.6413,6.1378,17.7371,0.1714
236.0000,7.8667,1617.6729,0.0000,-3.8742,-14.4020,-0.1492,14.4027,0.0000
237.0000,7.9000,1620.5168,38.5027,214.9460,-12.2190,-7.0695,14.1167,0.7995
238.0000,7.9333,1614.5522,630.0514,388.5489,-12.1488,-22.8812,25.9064,214.0986
239.0000,7.9667,1652.7414,1642.4509,259.6549,-12.0380,-41.4578,43.1701,1454.9453
240.0000,8.0000,1730.2869,1868.0473,-171.5541,-12.3925,-43.2395,44.9803,1882.0778
241.0000,8.0333,1789.3330,867.9518,-420.1552,-12.2613,-30.8642,33.2105,406.3059
242.0000,8.0667,1787.0405,0.0000,-232.4402,-11.9883,-24.7094,27.4640,0.0000
243.0000,8.1000,1768.1548,0.0000,19.0352,-11.4576,-27.2594,29.5694,0.0000
