Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
166,5.5333,2517.3923,81.9678,-80.3442,-7.2258,-55.5276,55.9958,27.1568,27.7901
167,5.5667,2537.1868,61.9653,-44.6868,-5.6055,-23.5117,24.1707,4.1133,2.4055
168,5.6000,2506.6698,61.9653,18.3402,-4.0850,15.7867,16.3067,7.3173,4.2793
169,5.6333,2485.9893,61.9653,72.9990,-3.1270,6.0726,6.8304,6.7836,3.9672
170,5.6667,2477.5221,61.9653,81.9897,-5.0869,-25.7736,26.2708,22.6058,13.2203
171,5.7000,2483.7740,354.7511,61.6646,-6.5438,-46.3209,46.7809,14.8866,285.3441
172,5.7333,2511.3720,556.6435,32.4803,-5.1931,-44.8744,45.1739,14.8323,699.9849
173,5.7667,2554.1024,513.3993,6.2935,-1.1610,-38.0399,38.0576,13.2917,533.5993
174,5.8000,2552.1617,405.8179,2.4248,1.2721,-23.5826,23.6169,5.0808,127.4428
175,5.8333,2557.7213,376.9287,23.8919,2.5687,-12.3902,12.6537,3.7833,81.8688
176,5.8667,2562.8850,430.7265,67.7595,3.0666,-11.9180,12.3062,3.9356,111.2087
177,5.9000,2580.5568,666.5620,95.7211,2.6853,-7.6726,8.1289,3.2135,217.4604
178,5.9333,2616.8153,966.8453,75.7655,2.6848,11.5214,11.8301,3.9981,569.2373
179,5.9667,2659.3405,1084.4104,6.8428,3.6859,-7.7954,8.6229,9.7863,1752.7939
180,6.0000,2680.0205,1032.0092,-71.4959,3.8942,-26.4649,26.7498,27.7367,4499.3155
181,6.0333,2725.9183,800.5411,-129.0820,2.9726,-39.5652,39.6767,2.2673,221.3095
182,6.0667,2747.3372,373.4586,-143.0899,1.4798,-22.3298,22.3788,5.9370,126.1169
183,6.1000,2753.9096,61.9653,-102.5630,0.3351,-18.9719,18.9749,2.3655,1.3834
184,6.1333,2751.8001,61.9653,-20.1803,-1.5210,2.2487,2.7148,3.0733,1.7973
185,6.1667,2734.1720,61.9653,72.4088,-3.1802,15.3964,15.7215,7.9293,4.6372
186,6.2000,2708.1454,254.6302,125.5670,-4.4897,14.6488,15.3214,8.0964,79.9532
187,6.2333,2744.7599,629.6589,112.0903,-5.7478,4.3599,7.2143,4.2615,257.3346
188,6.2667,2782.2162,907.3992,60.7027,-6.9220,-8.2650,10.7807,3.0722,385.2747
189,6.3000,2819.9707,980.5061,-11.1968,-7.7737,-18.8482,20.3883,6.4248,940.7783
190,6.3333,2848.9852,758.8471,-79.6937,-8.3175,-28.4113,29.6038,9.8340,862.5063
191,6.3667,2863.7199,455.0336,-111.4981,-8.6196,-39.6044,40.5316,14.4670,456.2379
192,6.4000,2870.4354,251.6108,-101.2829,-8.8646,-49.1957,49.9880,23.3070,224.7347
193,6.4333,2877.6061,110.3347,-64.8907,-9.2957,-52.3197,53.1391,24.6751,45.7518
194,6.4667,2882.2509,81.9398,-27.4067,-9.3888,-47.6679,48.5837,20.9515,21.4255
195,6.5000,2883.0177,61.9653,-8.4948,-8.7483,-39.7070,40.6593,15.3386,8.9703
196,6.5333,2882.6500,61.9653,9.5882,-6.9318,-37.4109,38.0477,12.9274,7.5602
197,6.5667,2883.9238,61.9653,34.2653,-7.1549,-38.8141,39.4681,22.1461,12.9515
198,6.6000,2888.1353,61.9653,64.2721,-6.2508,-42.8195,43.2733,13.9942,8.1841
199,6.6333,2872.1266,216.4896,93.5724,-5.9323,-29.6180,30.2063,17.7999,127.0625
200,6.6667,2899.1418,478.9847,104.5122,-4.5810,-25.9389,26.3403,4.4001,153.7557
201,6.7000,2910.6390,698.4091,89.4964,-4.5277,-7.8495,9.0617,8.8843,660.0377
202,6.7333,2940.1345,874.5481,47.7366,-3.1814,-6.4392,7.1823,6.3423,738.8221
203,6.7667,2977.0540,910.7379,-14.0537,-3.3871,4.0246,5.2603,3.5624,450.0469
204,6.8000,3011.7928,788.9294,-65.1812,-3.6548,2.6253,4.4999,4.2653,404.3420
205,6.8333,3019.6686,616.1445,-93.4610,-3.3063,15.2291,15.5839,5.9380,343.3449
206,6.8667,3053.1896,377.2496,-94.8330,-0.7092,17.0708,17.0855,7.7317,167.5939
