Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
152,5.0667,1826.5510,649.1578,-7.7430,-6.0002,-19.5921,20.4903,5.7716,370.4405
153,5.1000,1850.4784,431.1296,-21.2063,-4.5255,-14.1728,14.8778,7.1599,202.6977
154,5.1333,1838.3915,283.1739,1.4659,-4.7974,-13.9537,14.7553,3.9513,48.2586
155,5.1667,1854.1524,267.7439,56.4783,-5.3674,-11.8251,12.9863,3.0071,32.8331
156,5.2000,1849.6234,512.9790,109.6294,-5.3372,-8.9659,10.4342,2.2939,91.9377
157,5.2333,1874.3204,951.9257,112.7027,-4.6135,-14.0456,14.7839,2.6542,366.3292
158,5.2667,1917.4899,1168.5826,58.9307,-1.8157,-24.6510,24.7178,6.4426,1340.0022
159,5.3000,1969.3510,1155.7223,-27.4866,1.5202,-31.1819,31.2189,6.8928,1402.2628
160,5.3333,2013.1330,976.8598,-107.5540,2.4814,-34.6678,34.7565,7.1364,1037.2133
161,5.3667,2036.3619,635.6424,-138.0241,0.4783,-38.2744,38.2774,12.4142,763.9562
162,5.4000,2035.7166,347.8138,-134.4900,-1.5720,-42.2152,42.2445,12.2945,226.5326
163,5.4333,2047.6186,126.9510,-106.8191,-1.8514,-41.8484,41.8893,19.4916,47.8459
164,5.4667,2051.2732,87.2745,-27.3260,-0.4597,-36.7623,36.7652,17.5295,20.3362
165,5.5000,2056.3732,87.2745,93.3887,1.8049,-21.0343,21.1116,5.1032,5.9203
166,5.5333,2057.6818,87.7845,211.8137,4.0086,-3.6144,5.3975,1.4411,1.6915
167,5.5667,2044.7219,650.6238,279.7359,5.8593,-3.7794,6.9725,1.2472,80.4095
168,5.6000,2054.8547,1487.1982,268.2402,6.1483,-16.5628,17.6672,4.0614,1368.1803
169,5.6333,2130.0576,2153.8267,173.8959,6.0531,-30.5140,31.1086,17.6765,12489.4286
170,5.6667,2231.9097,2318.4206,19.4845,9.0527,-32.5274,33.7636,13.1767,10787.4133
171,5.7000,2334.0473,2043.7423,-121.7865,14.6598,-33.6715,36.7244,9.3177,5927.7136
172,5.7333,2403.3078,1515.8055,-176.9330,17.8571,-36.9887,41.0736,11.5986,4058.9938
173,5.7667,2398.1855,1079.0404,-140.2930,17.9807,-39.7225,43.6025,15.5019,2749.0681
174,5.8000,2406.8978,967.1448,-67.9003,15.8736,-39.2110,42.3021,10.8476,1545.4017
175,5.8333,2456.9009,1028.5320,-15.6592,15.4622,-31.9756,35.5179,12.7681,2057.2474
176,5.8667,2513.5171,1159.3388,0.5709,15.9327,-24.3867,29.1301,4.1634,852.2985
177,5.9000,2567.1389,1158.4778,-9.1359,19.2785,-19.2382,27.2354,3.4747,710.2631
178,5.9333,2596.9644,950.3796,-16.9905,19.9398,-26.1527,32.8870,6.1272,842.9043
179,5.9667,2596.0059,838.3471,-10.5259,19.1417,-33.5455,38.6226,8.7318,934.7048
180,6.0000,2628.9546,891.6225,5.1149,16.8771,-34.8585,38.7292,7.9418,961.6226
181,6.0333,2666.5179,1007.7629,15.8505,16.0472,-29.8698,33.9075,7.3020,1129.4973
182,6.0667,2711.5292,1075.1067,-16.1254,15.4952,-24.5543,29.0347,5.8617,1031.9293
183,6.1000,2750.6069,990.7421,-69.7405,13.4185,-15.5262,20.5212,4.0692,608.3482
184,6.1333,2773.4228,800.5194,-114.3506,11.3265,-9.4451,14.7478,1.8628,181.8179
185,6.1667,2785.8820,494.0874,-131.7215,9.5211,-4.8310,10.6766,2.1702,80.6907
186,6.2000,2797.6072,87.2745,-119.0712,7.9415,-5.4270,9.6187,1.2083,1.4018
187,6.2333,2810.2549,87.2745,-86.2186,4.0049,-14.3796,14.9269,1.5516,1.8000
188,6.2667,2781.4240,87.2745,-45.4147,0.2784,-31.7732,31.7744,12.2115,14.1667
189,6.3000,2718.8353,87.2745,-8.2087,-0.0649,-42.6507,42.6507,20.2006,23.4350
190,6.3333,2637.8496,87.2745,9.1360,0.7538,-36.2701,36.2779,13.6029,15.7809
191,6.3667,2565.6737,87.2745,47.3093,-0.6953,-19.8460,19.8581,2.4555,2.8487
192,6.4000,2532.0059,87.2745,86.4016,-3.6592,-4.6279,5.8998,1.7499,2.0301
193,6.4333,2547.4113,87.2745,112.9362,-4.8847,-3.1431,5.8085,1.6862,1.9562
194,6.4667,2561.4443,492.2194,123.0052,-5.0257,-11.9278,12.9433,2.5521,94.1745
195,6.5000,2571.6232,787.5005,111.7138,-5.3114,-21.5335,22.1788,5.3819,508.3465
196,6.5333,2591.5898,917.3799,74.2237,-5.4069,-25.4245,25.9930,5.7033,731.0574
197,6.5667,2632.1917,989.3679,12.5697,-5.1465,-25.8594,26.3665,5.3237,793.6905
198,6.6000,2667.8209,976.2434,-57.2076,-4.9544,-28.6060,29.0319,4.8611,705.6254
199,6.6333,2704.4590,839.1566,-95.2256,-4.9215,-31.1860,31.5719,8.5317,915.0579
200,6.6667,2731.1124,590.9843,-102.8254,-6.1925,-34.9381,35.4827,7.4831,398.0692
201,6.7000,2734.6803,320.9881,-85.9304,-7.4139,-35.0141,35.7904,12.9497,203.2173
202,6.7333,2741.7031,151.5840,-56.0380,-8.3866,-32.5403,33.6036,9.5938,33.5756
203,6.7667,2752.1329,166.2142,-21.2983,-8.5576,-25.7173,27.1037,12.0303,50.6218
204,6.8000,2750.7919,251.1061,11.5219,-9.0989,-18.5380,20.6507,6.6842,64.1929
205,6.8333,2756.5688,247.5831,38.7086,-9.5777,-10.5951,14.2824,3.2702,30.5306
206,6.8667,2777.0704,261.2939,59.9616,-10.0602,-3.1463,10.5407,2.0640,21.4632
207,6.9000,2796.8546,382.2773,78.2428,-10.5771,-0.0196,10.5771,1.8383,40.9171
208,6.9333,2789.1845,579.5364,88.3691,-11.1418,-11.9180,16.3150,1.1693,59.8141
209,6.9667,2808.2609,808.9883,64.8274,-12.4954,-29.7778,32.2932,9.9287,989.6952
210,7.0000,2844.4774,933.8766,2.8844,-12.4321,-41.0046,42.8478,11.3573,1508.6191
211,7.0333,2883.4425,913.4737,-65.9739,-10.9143,-35.3381,36.9852,22.7265,2888.3500
212,7.0667,2926.5772,685.4388,-104.3615,-8.8583,-24.5852,26.1324,4.4897,321.2743
213,7.1000,2946.0835,332.8204,-82.5953,-8.3726,-13.7321,16.0832,1.8569,31.3288
214,7.1333,2928.6285,145.1962,-8.3923,-8.4868,-7.4352,11.2831,2.0981,6.7370
215,7.1667,2932.4349,208.9130,74.9630,-8.7255,-9.7058,13.0513,2.2043,14.6532
216,7.2000,2936.6977,533.1711,124.0584,-8.9060,-17.1526,19.3268,3.4346,148.7058
217,7.2333,2967.2705,966.5636,108.9538,-8.4968,-25.4614,26.8417,5.1937,739.0237
218,7.2667,3009.8817,1153.5752,36.1584,-7.0573,-26.5752,27.4963,6.4824,1313.8732
219,7.3000,3057.8402,1051.7177,-52.8122,-5.9777,-29.6342,30.2311,7.3820,1243.6433
220,7.3333,3093.5937,790.4902,-112.6553,-6.2934,-27.1562,27.8759,8.2549,785.6523
221,7.3667,3111.0445,467.2460,-120.3450,-7.6482,-17.5615,19.1547,2.3508,78.1669
222,7.4000,3107.6333,237.0534,-90.4413,-8.5896,-6.7132,10.9018,1.9148,16.3888
223,7.4333,3114.8842,184.1176,-51.4666,-8.8475,-8.0716,11.9762,2.6832,13.8540
224,7.4667,3120.9699,204.7427,-15.7483,-8.7283,-13.8497,16.3706,4.1206,26.3091
225,7.5000,3134.2078,185.4305,18.6332,-8.3156,-11.0874,13.8593,3.3001,17.2829
226,7.5333,3144.7633,178.3377,53.9295,-8.0464,-2.4745,8.4183,1.8957,9.1831
227,7.5667,3157.3477,256.0050,87.7403,-8.5010,-8.8928,12.3024,1.4269,14.2433
228,7.6000,3144.2216,468.9943,108.6718,-9.9650,-22.7962,24.8791,7.3255,245.4120
229,7.6333,3162.8698,784.9464,90.5554,-11.1733,-36.9480,38.6005,7.7222,724.6761
230,7.6667,3200.2429,993.8501,25.6607,-10.5391,-36.4867,37.9783,12.2267,1839.4004
231,7.7000,3245.4318,993.0287,-55.8606,-7.8975,-34.2656,35.1639,20.0172,3006.4371
232,7.7333,3287.5005,763.0951,-117.3000,-5.2767,-23.2375,23.8290,8.4686,751.0897
233,7.7667,3310.6928,354.8349,-119.2574,-4.4929,-12.9344,13.6925,2.2193,42.5599
234,7.8000,3291.9527,87.2745,-52.0451,-5.2367,-4.6375,6.9950,2.4098,2.7956
235,7.8333,3293.1824,87.2745,43.1242,-5.9709,-2.4344,6.4481,1.6316,1.8928
236,7.8667,3293.8578,283.2876,118.8377,-6.4970,-8.8081,10.9450,1.8846,23.0359
237,7.9000,3306.6626,732.8209,136.7330,-6.8128,-16.3889,17.7485,3.9350,321.8579
238,7.9333,3342.5361,1046.0087,88.9984,-6.4018,-22.3254,23.2251,4.8588,809.7084
239,7.9667,3386.9450,1094.3039,4.2708,-5.3211,-23.1377,23.7417,5.7429,1047.4543
240,8.0000,3429.5699,964.3985,-82.0408,-5.4791,-28.5503,29.0713,7.0242,995.0267
241,8.0333,3459.4516,687.7734,-126.8864,-6.9148,-30.9349,31.6983,9.4228,678.8875
242,8.0667,3467.4188,390.5761,-113.7915,-8.4996,-30.6275,31.7851,6.2799,145.9101
243,8.1000,3470.6107,174.9354,-68.5409,-8.9367,-24.8966,26.4519,11.2962,52.6517
244,8.1333,3477.5532,109.2797,-19.2484,-8.8509,-18.1505,20.1936,5.9299,10.7858
245,8.1667,3483.7691,188.7972,8.7953,-8.7414,-10.2084,13.4396,2.9050,15.7710
246,8.2000,3488.7344,277.9364,11.5302,-8.9286,-7.0605,11.3829,2.8123,33.0890
247,8.2333,3496.3705,297.5636,-4.2771,-8.8801,-4.0638,9.7658,2.0642,27.8377
248,8.2667,3512.2129,215.0711,-24.9487,-8.6806,-5.2727,10.1565,1.3879,9.7776
