Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
120,4.0000,2106.3425,314.8692,-128.5424,5.7227,-2.4338,6.2187,4.1526,62.7059
121,4.0333,2102.1216,98.6003,-92.0714,5.4703,-4.4920,7.0783,6.8929,10.2067
122,4.0667,2104.3035,61.2745,-34.3393,4.7444,-15.3054,16.0239,6.6397,3.7969
123,4.1000,2109.4081,61.2745,25.7262,4.8660,-23.9065,24.3967,19.8515,11.3522
124,4.1333,2114.9195,96.8208,72.2557,4.6294,-25.2928,25.7130,7.5545,10.7861
125,4.1667,2116.4644,266.3017,93.5537,4.9051,-18.9755,19.5992,4.6639,50.3754
126,4.2000,2117.8542,492.8535,86.9173,4.7641,-18.0987,18.7153,4.9524,183.2198
127,4.2333,2139.0946,709.2954,51.5596,4.2739,-20.7775,21.2125,5.2765,404.3168
128,4.2667,2170.9449,786.9554,-5.5939,2.8590,-26.0897,26.2459,6.5890,621.5049
129,4.3000,2208.2891,687.7784,-58.3258,2.0292,-30.4849,30.5524,9.5585,688.6695
130,4.3333,2231.5776,461.6900,-81.3335,2.1493,-31.0050,31.0794,7.9914,259.4481
131,4.3667,2236.3299,240.0009,-68.1397,2.1662,-29.4449,29.5245,8.2029,71.9641
132,4.4000,2227.5438,139.4423,-33.6998,2.2850,-30.2901,30.3762,8.4066,24.8964
133,4.4333,2232.3787,169.7305,-0.6216,2.4657,-29.2728,29.3765,8.9216,39.1460
134,4.4667,2244.1791,269.6928,20.9673,2.4797,-28.9210,29.0271,6.0130,66.6124
135,4.5000,2263.1473,333.4806,34.4422,2.8691,-24.5856,24.7524,7.8309,132.6415
136,4.5333,2275.8391,333.7746,49.5417,3.0193,-20.3607,20.5833,16.0999,273.1842
137,4.5667,2283.7440,378.2239,70.2760,3.0014,-16.7889,17.0550,16.3539,356.3234
138,4.6000,2290.1647,543.3372,87.1458,2.5707,-14.3691,14.5972,15.6054,701.6789
139,4.6333,2306.3361,782.2615,79.9850,2.9086,-6.5123,7.1324,6.7025,624.6928
140,4.6667,2340.6041,988.1908,35.3830,2.9857,-0.2628,2.9972,2.5250,375.5531
141,4.7000,2385.4498,1038.1754,-33.2060,2.9650,-0.0917,2.9664,2.2003,361.1981
142,4.7333,2423.6346,872.8799,-92.0630,2.8653,0.6762,2.9440,3.1722,368.1268
143,4.7667,2447.8820,554.9772,-109.4069,3.2401,5.7576,6.6067,6.0303,282.8890
144,4.8000,2457.7126,277.6584,-73.7770,2.9026,1.8893,3.4633,5.5002,64.5837
145,4.8333,2458.2634,185.8216,-1.8825,1.9721,-8.4483,8.6755,5.6680,29.8092
146,4.8667,2458.2530,298.8942,70.8917,2.4633,-14.1821,14.3945,5.5009,74.8504
147,4.9000,2472.2922,565.7662,106.3495,3.4101,-15.6268,15.9945,3.4311,167.2778
148,4.9333,2501.1066,836.1184,86.8225,3.5592,-19.3719,19.6961,6.6112,703.9450
149,4.9667,2533.6697,986.1377,28.6585,2.3650,-24.4510,24.5651,4.6594,690.1214
150,5.0000,2571.5069,968.3400,-33.7839,1.9438,-25.7298,25.8031,5.7520,821.4822
151,5.0333,2605.9656,780.6387,-64.8019,1.5418,-24.9846,25.0321,5.3270,494.4322
152,5.0667,2623.6987,564.2728,-47.6052,1.0475,-19.0426,19.0714,3.3582,162.8576
153,5.1000,2641.5686,473.0073,2.8284,0.8459,-14.8337,14.8578,3.5395,120.6141
154,5.1333,2651.1144,558.4047,56.0483,0.5439,-9.3422,9.3580,3.8113,181.0071
155,5.1667,2662.7305,799.7839,78.8613,0.0512,-5.1116,5.1118,3.7157,361.9996
156,5.2000,2696.5654,1021.9982,51.7077,0.7257,1.3124,1.4997,3.7795,601.2532
157,5.2333,2743.0843,1083.6563,-15.5815,2.4579,4.2884,4.9428,4.0353,721.7485
158,5.2667,2785.3882,966.4765,-86.1095,4.0677,5.2741,6.6605,4.6054,655.1971
159,5.3000,2817.4760,678.7592,-124.9996,4.3406,-0.0166,4.3406,3.8006,266.6896
160,5.3333,2824.6256,340.7232,-123.2298,4.4610,-8.5399,9.6349,5.1833,91.6513
161,5.3667,2825.3312,94.5046,-93.7541,4.3715,-14.7045,15.3405,9.2952,12.6442
162,5.4000,2826.6186,61.2745,-45.4503,4.2977,-18.7376,19.2242,7.8327,4.4792
163,5.4333,2829.1687,61.2745,9.5687,3.4112,-19.9712,20.2604,10.8928,6.2291
164,5.4667,2829.9268,61.2745,58.1342,3.4297,-20.7358,21.0176,10.4591,5.9811
165,5.5000,2833.7454,156.5931,90.6918,4.6529,-17.8882,18.4834,6.8013,25.4018
166,5.5333,2839.1258,373.8792,102.2324,4.7215,-20.0814,20.6290,6.2200,132.4267
167,5.5667,2844.2124,624.4901,85.4410,3.2783,-25.2694,25.4812,7.9237,470.6551
168,5.6000,2874.8273,830.8960,33.1897,1.9964,-30.2369,30.3028,9.0339,949.9368
169,5.6333,2913.2501,845.4335,-35.6482,2.1321,-31.1674,31.2402,8.9132,970.3227
170,5.6667,2943.5580,659.4402,-88.6083,2.0684,-30.0668,30.1379,9.8244,650.7035
171,5.7000,2964.8387,371.0804,-105.0468,2.2194,-27.3092,27.3992,6.9439,145.6346
172,5.7333,2969.2056,102.3134,-75.7695,1.8708,-24.8852,24.9555,5.8614,9.3452
173,5.7667,2951.9186,61.2745,-24.3214,1.8452,-27.2141,27.2765,7.6911,4.3982
174,5.8000,2955.6030,73.6765,15.1084,2.1101,-30.0340,30.1081,8.2531,6.8234
175,5.8333,2964.4395,230.7751,30.5990,2.7611,-27.9023,28.0385,7.1478,57.9799
176,5.8667,2976.0199,337.4261,29.8846,2.3899,-25.5801,25.6915,6.2981,109.2168
177,5.9000,2993.5377,312.1476,34.5872,2.0304,-22.1452,22.2381,5.5512,82.3816
178,5.9333,3008.2567,282.7221,54.6907,1.7312,-15.9832,16.0767,4.5325,55.1802
179,5.9667,3009.2545,400.3626,83.2092,1.9343,-9.7270,9.9175,4.8402,118.1658
180,6.0000,3014.2272,637.7833,102.0633,1.5619,-4.7580,5.0078,5.0176,310.8639
181,6.0333,3039.2293,916.9062,82.6012,1.8336,-4.1434,4.5311,6.6276,848.6551
182,6.0667,3082.0655,1102.1440,19.6368,2.3985,0.0648,2.3994,2.1342,394.8565
183,6.1000,3130.3268,1065.4819,-58.5680,3.4228,0.5849,3.4724,4.2190,729.4945
184,6.1333,3168.3007,808.9354,-113.4887,3.9245,-0.5259,3.9596,5.1394,512.2251
185,6.1667,3184.8806,461.8634,-131.4324,4.1849,-2.8113,5.0415,3.9170,127.2639
186,6.2000,3183.6743,179.1997,-114.9804,3.9965,-4.5379,6.0469,4.8625,23.7824
187,6.2333,3184.2656,61.2745,-75.1868,3.6087,-9.3197,9.9940,7.4715,4.2726
188,6.2667,3187.2718,61.2745,-20.4394,3.1899,-19.5818,19.8399,10.5319,6.0227
189,6.3000,3191.2841,61.2745,38.2354,3.5925,-22.9826,23.2617,12.8150,7.3283
190,6.3333,3194.8687,67.0891,89.1970,4.7460,-21.3492,21.8704,7.4819,5.1291
191,6.3667,3192.7319,282.2962,118.9722,5.6683,-18.8465,19.6804,5.9125,71.7642
192,6.4000,3193.4110,604.5293,115.5991,6.1044,-17.7799,18.7986,6.6214,368.5633
193,6.4333,3221.3916,908.7732,61.8869,4.6429,-20.9515,21.4598,6.2311,783.7967
194,6.4667,3265.0783,1002.3926,-20.2172,2.6962,-24.5076,24.6554,6.7913,1039.3244
195,6.5000,3309.0983,828.6678,-90.5346,1.4640,-25.5222,25.5642,6.5217,682.0990
