Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
175,5.8333,2453.4521,244.7603,28.2632,3.7885,-4.8738,6.1730,8.9464,81.6312
176,5.8667,2463.5717,289.6863,25.8876,3.5351,-13.3783,13.8375,9.4166,120.3578
177,5.9000,2474.8432,326.7779,23.3707,3.1247,-12.6504,13.0306,7.0387,114.4779
178,5.9333,2489.2359,361.8919,22.3063,2.7040,-8.2430,8.6752,3.8563,76.9219
179,5.9667,2497.1335,400.5357,22.9738,2.7422,-5.3101,5.9764,3.8063,93.0054
180,6.0000,2509.4048,454.7185,20.8463,2.8781,-6.5933,7.1941,2.8779,90.6336
181,6.0333,2526.8330,493.8491,11.1336,3.1529,-8.3243,8.9014,3.0219,112.2534
182,6.0667,2546.6537,511.6757,-5.8015,3.3305,-6.4857,7.2908,1.9896,79.3393
183,6.1000,2563.8457,500.0151,-25.2769,3.5136,-8.5357,9.2306,2.3392,89.0764
184,6.1333,2580.7583,427.7058,-37.1413,3.6232,-11.0486,11.6275,4.9104,136.8155
185,6.1667,2590.0614,330.0137,-31.4628,3.6762,-3.8582,5.3292,2.2164,36.7648
186,6.2000,2602.2664,255.8145,-6.3213,3.4454,7.3213,8.0915,2.6217,26.1306
187,6.2333,2611.6383,252.7494,32.7659,3.2186,12.0101,12.4339,2.9147,28.3594
188,6.2667,2617.1295,365.0907,70.9730,3.8513,11.4265,12.0581,3.6190,73.4708
189,6.3000,2628.4963,563.2294,89.4504,4.5366,14.0302,14.7454,5.5701,269.1285
190,6.3333,2648.0470,769.4404,76.9866,4.4399,17.4922,18.0469,3.7399,337.2379
191,6.3667,2681.3748,919.0557,34.6951,3.8709,20.8775,21.2333,3.4459,443.3180
192,6.4000,2719.2747,938.9907,-22.6908,3.7961,21.2891,21.6249,3.9253,527.1275
193,6.4333,2752.6086,815.8140,-73.3389,3.6881,18.3414,18.7085,3.0626,310.4512
194,6.4667,2772.6745,599.3261,-100.3336,3.9664,18.8990,19.3107,2.8756,157.3197
195,6.5000,2787.1059,365.0626,-98.6955,4.0476,19.1082,19.5322,4.8015,97.4623
196,6.5333,2793.9256,184.7422,-73.6627,3.6102,13.4068,13.8844,4.5405,23.6025
197,6.5667,2799.3071,97.3695,-36.4237,2.7542,3.6864,4.6017,8.5767,12.3849
198,6.6000,2801.7851,86.7076,-1.4769,2.9971,-0.0628,2.9978,7.6305,8.7376
199,6.6333,2803.4784,110.1553,22.1306,4.0185,2.8260,4.9127,5.9159,10.9333
200,6.6667,2806.6694,178.6491,34.7969,4.5332,0.5518,4.5667,6.7537,32.8300
201,6.7000,2816.5718,259.7097,39.5216,3.6485,-5.9494,6.9791,9.4088,96.6577
202,6.7333,2826.3119,317.8272,40.0176,2.5685,-12.2644,12.5304,8.2662,127.1786
203,6.7667,2837.2162,389.7650,36.4207,2.3092,-10.5783,10.8274,5.2354,121.1380
204,6.8000,2855.3702,462.9590,27.8383,2.3336,-7.0638,7.4393,3.5285,115.1847
205,6.8333,2864.5590,506.5593,16.6732,2.1567,-4.5961,5.0770,2.7035,105.6594
206,6.8667,2883.0428,537.1040,-0.4142,2.0916,-4.8429,5.2752,2.4462,107.4818
